Property,Value
Atmosphere,<POINTER(IAgAtmosphere) ptr=0x1f547a9d8c8 at 1f5497072d0>
Attitude,<POINTER(IAgVeAttitude) ptr=0x1f547a9f3c8 at 1f549707350>
AttitudeSupportedTypes,"((1, 'Real Time'), (2, 'Standard'))"
AttitudeType,2
CentralBodyName,Earth
ClassName,Aircraft
ClassType,1
EclipseBodies,<POINTER(IAgVeEclipseBodies) ptr=0x1f547a9fec8 at 1f549707350>
ExportTools,<POINTER(IAgAcExportTools) ptr=0x1f547a9c548 at 1f5497072d0>
Graphics,<POINTER(IAgAcGraphics) ptr=0x1f547a9c5c8 at 1f549707350>
HasBeenDeleted,False
HasChildren,False
InstanceName,MyAircraft_Con
LaserEnvironment,<POINTER(IAgPlatformLaserEnvironment) ptr=0x1f54eb04748 at 1f549707350>
LightingMaxStep,10.0
LongDescription,
ObjectCoverage,<POINTER(IAgStkObjectCoverage) ptr=0x1f547a9fe48 at 1f5497073d0>
ObjectFiles,"('C:\\Users\\graye\\OneDrive\\Documents\\STK 12\\STK_Connect\\MyAircraft_Con.ac', 'C:\\Users\\graye\\OneDrive\\Documents\\STK 12\\STK_Connect\\MyAircraft_Con.ac3', 'C:\\Program Files\\AGI\\STK 12\\STKData\\VO\\Models\\Air\\aircraft.glb', 'C:\\Program Files\\AGI\\STK 12\\STKData\\VO\\Textures\\milkyway.jpg')"
Parent,<POINTER(IAgStkObject) ptr=0x1f547a9dcc8 at 1f5497073d0>
Path,/Application/STK/Scenario/STK_Connect/Aircraft/MyAircraft_Con
RFEnvironment,<POINTER(IAgPlatformRFEnvironment) ptr=0x1f547a9df48 at 1f5497073d0>
RadarClutterMap,<POINTER(IAgRadarClutterMapInheritable) ptr=0x1f547a9fec8 at 1f549707350>
RadarCrossSection,<POINTER(IAgRadarCrossSectionInheritable) ptr=0x1f547a9f0c8 at 1f549707650>
Root,<POINTER(IAgStkObjectRoot) ptr=0x1f547a9d3c8 at 1f5497076d0>
Route,<POINTER(IAgVePropagator) ptr=0x1f547a9cbc8 at 1f549707650>
RouteSupportedTypes,"((6, 'StkExternal'), (9, 'GreatArc'), (13, 'RealTime'), (15, 'Aviator'))"
RouteType,9
ShortDescription,
UseTerrainInLightingComputations,False
VO,<POINTER(IAgAcVO) ptr=0x1f547a9f7c8 at 1f549707650>
Vgt,<POINTER(IAgCrdnProvider) ptr=0x1f547a9c748 at 1f5497076d0>
_b_base_,
_b_needsfree_,1
_case_insensitive_,True
_idlflags_,"['hidden', 'dual', 'nonextensible', 'oleautomation']"
_iid_,{FC71C13B-461C-42DD-B5F1-B893A15ACD61}
